_id,_pct_missed,_judgments,_hidden,_contention,_pct_contested,_gold_pool,_review_state,_added_by,_created_at,_what_is_the_authors_sentiment_feeling_in_this_text_or_what_emotion_does_this_text_convey,what_is_the_authors_sentiment_feeling_in_this_text_or_what_emotion_does_this_text_convey_gold,what_is_the_authors_sentiment_feeling_in_this_text_or_what_emotion_does_this_text_convey_gold_reason,tweet_text,tweet_id,tweet_emotion
2692386909,0.05,63,false,"",0.0,,,created,3/18/2020 20:37:01,"",1,"",Just a Happy doggy and an open field â¤ï¸,1235921043145060353,happy
2692387303,0.30,47,false,pleasant,0.0213,,,created,3/18/2020 20:38:09,"",1,"",Refreshing colourful delight ğŸ˜ Healthier alternative to mainstream cake ğŸ‚,1237220483096932352,surprise
2692387339,0.15,55,false,"",0.0,,,created,3/18/2020 20:38:15,"",1,"",Try this ğŸ‘‡ ! Happy Holi !,1237354677949222919,surprise
2692387496,0.15,53,false,"",0.0,,,created,3/18/2020 20:38:37,"",2,"","When unexpected events disrupt what we expect to occur , we get angry . what is the  anger all about ?",1235629946036355072,anger
2692387573,0.14,64,false,"",0.0,,,created,3/18/2020 20:39:01,"",4,"", exciting new photos just added ! ! ! !,1237257707469582336,excitement
2692389615,0.15,55,false,"",0.0,,,created,3/18/2020 20:39:51,"","1
5","",Remembering the most important women in my life . ğŸ’›â™€ï¸ğŸ’›  InternationalWomensDay  Mother  Grandmother  pavedtheway  strong  nuâ€¦,1236788590933356549,pleasant
2692393204,0.14,43,false,"",0.0,,,created,3/18/2020 20:40:06,"",4,"", exciting ! Looking forward to watch our legendary cricketers in action .,1236188766018007042,excitement
2692393542,0.21,67,false,wonderful is closer to excitement,0.0149,,,created,3/18/2020 20:41:46,"",1,"","A wonderful good morning to all  respectful and  loyal fans and hope , you had a wonderful Tuesday . Have a fantastic midweek and take care . Martina from Germany",1237589699071365121,pleasant
2692394124,0.00,34,false,"",0.0,,,created,3/18/2020 20:44:18,"","1
2
3
4
5
6","",Shop the  floral  summer  dress  for your  baby  girl from  Fashion  Playground ! This dress will not only provide a  stylish  look but also keep your tot  comfortable ! Also available in  pink .,1237586924073652225,pleasant
2692394158,0.12,33,false,"",0.0,,,created,3/18/2020 20:44:28,"","2
3","", fear is fucked up !  spirit is REAL,1236684116571099138,fear
2692394193,0.48,42,false,incomplete phrase,0.0238,,,created,3/18/2020 20:44:42,"",6,"",And how !,1237900189945356288,pleasant
2692394226,0.05,40,false,"",0.0,,,created,3/18/2020 20:44:58,"",1,"",Yay ! I am so happy for ! Watching him on  belowdeckmed made me feel like a,1236083454531510272,excitement
2692394251,0.81,37,false,unfairrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,0.027,,,created,3/18/2020 20:45:04,"",1,"",We have a countdown on the locked option on modern warfare . ğŸ˜¬,1237060586229374976,excitement
2692394296,0.78,27,false,"",0.0,,,created,3/18/2020 20:45:17,"",5,"","You  win some , you  lose some , you  fear some .",1236678661106888704,fear
2692394372,0.28,29,false,"",0.0,,,created,3/18/2020 20:45:42,"",2,"",lia me no like you because I say you ignore me but you make tweet and you think you happy but me no happy grrrr,1236543315186577409,anger
2692394412,0.00,24,false,"",0.0,,,created,3/18/2020 20:45:55,"",2,"",I want to kill you and destroy you . I want you died and I want Flint back .,1236903811253297152,anger
2692394494,0.43,14,false,"",0.0,,,created,3/18/2020 20:46:21,"",3,"",sorry,1238053655598657537,pleasant
2692394608,0.47,19,false,"",0.0,,,created,3/18/2020 20:46:48,"",3,"",Here â€™ s a post I have written about fear . Please read it if you have the time ğŸ–¤,1236496023616290817,fear
2692394650,0.00,10,false,"",0.0,,,created,3/18/2020 20:47:01,"",1,"","Happy International Women â€™ s Day to all the strong , beautiful , talented women out there ! Stay amazing ! ğŸ’• . . . . . A little bliss in every bite . . . . .  strong  confident  loyal  brave  beautiful  intelligentâ€¦",1236707649942704129,pleasant
